,Date,Open,High,Low,Close,Volume
0,2020-01-01,159.0,164.2,158.75,162.92,675200.0
1,2020-01-02,165.0,168.99,164.1,168.1,3173800.0
2,2020-01-03,169.5,176.5,160.65,163.3,7295200.0
3,2020-01-06,160.55,163.49,159.98,161.23,1191100.0
4,2020-01-07,158.55,167.95,158.55,166.93,1429600.0
5,2020-01-08,163.5,168.25,159.5,160.55,3016100.0
6,2020-01-09,164.0,168.4,164.0,168.07,2783200.0
7,2020-01-10,169.0,170.0,167.25,169.11,2040200.0
8,2020-01-13,169.0,172.0,168.0,170.98,2117500.0
9,2020-01-14,170.47,173.25,169.8,171.24,848900.0
10,2020-01-15,171.24,171.88,169.1,170.8,1300700.0
11,2020-01-16,169.26,171.2,168.2,170.32,617600.0
12,2020-01-17,170.0,172.5,169.7,170.83,670100.0
13,2020-01-20,171.0,171.0,166.0,168.55,1059600.0
14,2020-01-21,169.82,170.9,166.0,168.01,458400.0
15,2020-01-22,167.13,170.0,167.13,168.45,530100.0
16,2020-01-23,168.99,170.8,168.0,169.93,436100.0
17,2020-01-24,169.5,171.0,168.5,169.02,691900.0
18,2020-01-27,168.55,170.49,167.6,169.95,357700.0
19,2020-01-28,169.0,170.0,166.49,167.87,487500.0
20,2020-01-29,168.7,168.7,163.5,164.03,549000.0
21,2020-01-30,164.98,165.97,161.0,164.83,706400.0
22,2020-01-31,164.89,165.45,162.15,163.12,352000.0
23,2020-02-03,163.12,163.12,155.0,157.08,1992700.0
24,2020-02-04,157.2,159.4,155.01,156.6,2196900.0
25,2020-02-06,157.99,160.5,157.98,159.28,1292300.0
26,2020-02-07,160.99,160.99,156.0,156.61,1255900.0
27,2020-02-10,156.61,158.0,154.11,155.94,598200.0
28,2020-02-11,158.0,158.0,152.2,154.6,792100.0
29,2020-02-12,155.85,158.9,154.01,156.73,667200.0
30,2020-02-13,156.9,160.0,154.5,159.35,530300.0
31,2020-02-14,159.9,163.0,159.15,162.26,1241700.0
32,2020-02-17,160.6,171.5,157.51,169.0,4521300.0
33,2020-02-18,169.0,175.5,169.0,171.78,5376100.0
34,2020-02-19,171.9,174.5,169.11,170.59,1681200.0
35,2020-02-20,168.02,169.0,165.0,167.78,1321800.0
36,2020-02-21,168.0,169.99,166.0,166.29,577200.0
37,2020-02-24,168.9,168.9,160.12,161.45,1465100.0
38,2020-02-25,159.9,162.0,158.1,158.81,1237100.0
39,2020-02-26,159.0,161.0,154.5,157.79,718900.0
40,2020-02-27,156.01,162.24,151.0,159.63,956400.0
41,2020-02-28,157.77,159.9,155.0,156.79,964300.0
42,2020-03-02,159.0,161.0,157.1,159.97,1376300.0
43,2020-03-03,160.77,162.95,159.01,160.11,1025300.0
44,2020-03-04,160.0,160.35,157.2,159.68,301200.0
45,2020-03-05,160.7,162.75,153.11,154.56,1503700.0
46,2020-03-06,154.0,154.5,148.49,149.41,1001000.0
47,2020-03-09,138.96,139.95,138.96,138.96,1098800.0
48,2020-03-10,138.96,147.0,138.0,145.21,2319100.0
49,2020-03-11,146.01,151.5,146.0,147.83,2048900.0
50,2020-03-12,145.02,145.02,137.49,137.75,1954500.0
51,2020-03-13,134.8,142.0,128.11,139.32,1962000.0
52,2020-03-16,133.07,136.0,128.88,128.88,1145000.0
53,2020-03-17,123.0,128.0,119.22,119.22,1768000.0
54,2020-03-18,116.0,119.0,110.28,110.28,1349800.0
55,2020-03-19,100.86,113.0,100.86,108.48,3119100.0
56,2020-03-20,116.0,116.15,106.0,115.1,2936000.0
57,2020-03-24,106.47,106.47,106.47,106.47,250196.0
58,2020-03-25,98.49,100.0,98.49,98.51,1741689.0
59,2020-03-26,93.0,103.5,93.0,101.92,1249833.0
